latitude;longitude;date
-0.474;110.364;39711
-0.476;110.355;39711
-0.482;110.31;39711
-0.465;110.363;39711
-0.436;110.441;39711
-0.469;110.208;39711
-0.47;110.199;39711
-0.442;110.332;39711
-0.471;110.005;39711
-0.403;110.412;39711
-0.396;110.338;39711
-0.432;109.957;39711
-0.433;109.947;39711
-0.323;110.528;39711
-0.209;110.995;39711
-0.188;111.011;39711
-0.261;110.503;39711
-0.293;110.216;39711
-0.217;110.552;39711
-0.341;109.442;39711
-0.342;109.433;39711
-0.102;111.038;39711
-0.103;111.029;39711
-0.157;110.655;39711
-0.162;110.62;39711
-0.182;110.477;39711
-0.093;111.037;39711
-0.226;110.109;39711
0.007;111.48;39711
-0.286;109.434;39711
-0.121;110.523;39711
-0.154;110.22;39711
-0.017;111.11;39711
-0.013;110.946;39711
-0.038;110.777;39711
-0.039;110.768;39711
-0.034;110.676;39711
-0.035;110.668;39711
-0.034;110.613;39711
0.131;111.697;39711
0.13;111.687;39711
0.11;111.486;39711
0.109;111.477;39711
0.006;110.762;39711
0.005;110.753;39711
0.034;110.897;39711
0.028;110.852;39711
-0.086;110.058;39711
0.055;110.912;39711
0.054;110.903;39711
0.055;110.849;39711
0.027;110.653;39711
0.084;110.926;39711
0.064;110.784;39711
0.004;110.301;39711
-0.036;110.023;39711
0.214;111.698;39711
0.169;111.389;39711
0.06;110.63;39711
0.059;110.621;39711
0.224;111.705;39711
0.1;110.779;39711
0.013;110.101;39711
0.006;109.863;39711
0.136;110.703;39711
0.086;110.228;39711
0.25;111.242;39711
0.15;110.483;39711
0.029;109.635;39711
0.211;110.778;39711
0.096;109.982;39711
0.231;110.793;39711
0.207;110.624;39711
0.206;110.615;39711
0.088;109.798;39711
0.263;110.952;39711
0.399;111.837;39711
0.272;110.951;39711
0.391;111.716;39711
0.318;111.208;39711
0.327;111.207;39711
0.278;110.868;39711
0.266;110.779;39711
0.191;110.262;39711
0.287;110.866;39711
0.286;110.858;39711
0.299;110.813;39711
0.446;111.645;39711
0.389;111.247;39711
0.393;111.018;39711
0.507;111.749;39711
0.538;111.896;39711
0.536;111.886;39711
0.535;111.877;39711
0.516;111.748;39711
0.495;111.601;39711
0.249;109.889;39711
0.365;110.634;39711
0.557;111.849;39711
0.566;111.848;39711
0.563;111.829;39711
0.604;111.918;39711
0.595;111.853;39711
0.568;111.669;39711
0.326;109.983;39711
0.615;111.926;39711
0.613;111.917;39711
0.581;111.695;39711
0.625;111.934;39711
0.624;111.925;39711
0.488;110.916;39711
0.602;111.388;39711
0.652;111.669;39711
0.61;111.377;39711
0.421;109.426;39711
0.386;109.183;39711
0.453;109.263;39711
0.48;109.259;39711
0.998;109.466;39711
1.234;109.956;39711
2.59;117.727;39713
-3.002;115.079;39713
-3.003;115.07;39713
-3.199;112.493;39713
-3.2;112.483;39713
-2.833;112.593;39713
-2.191;111.766;39713
-2.192;111.755;39713
-2.183;111.402;39713
-2.192;110.981;39713
-2.123;110.965;39713
-2.107;110.998;39713
-2.084;111.019;39713
-2.082;110.959;39713
-2.042;111.025;39713
-2.032;111.023;39713
-1.554;114.336;39713
-1.555;114.328;39713
-2.032;111.03;39713
-2.034;111.018;39713
-1.934;111.427;39713
-1.501;114.383;39713
-1.503;114.375;39713
-2.008;110.835;39713
-1.955;111.135;39713
-1.957;111.124;39713
-1.951;110.808;39713
-1.903;110.704;39713
-1.905;110.691;39713
-1.633;110.389;39713
-0.973;110.442;39713
-0.964;110.429;39713
-0.966;110.417;39713
0.305;111.307;39713
0.318;111.235;39713
0.328;111.234;39713
0.372;111.195;39713
0.42;111.463;39713
0.467;111.564;39713
0.472;111.46;39713
0.469;111.44;39713
0.464;111.409;39713
0.548;111.926;39713
0.575;112.05;39713
0.48;111.386;39713
0.479;111.376;39713
0.525;111.257;39713
0.523;111.247;39713
0.661;111.697;39713
0.87;112.949;39713
0.869;112.94;39713
0.702;111.651;39713
0.745;111.769;39713
1.137;112.44;39713
1.136;112.431;39713
1.99;117.142;39714
1.523;118.189;39714
1.518;118.156;39714
1.515;118.183;39714
1.679;118.016;39714
1.769;117.85;39714
1.764;117.816;39714
1.983;117.119;39714
2.041;117.384;39714
2.063;117.418;39714
2.058;117.382;39714
1.973;117.156;39714
1.984;117.115;39714
2.043;117.379;39714
2.038;117.342;39714
2.066;117.414;39714
2.06;117.378;39714
2.222;117.496;39714
2.226;117.491;39714
2.523;117.793;39714
2.551;117.648;39714
2.53;117.785;39714
2.557;117.641;39714
2.59;117.741;39714
2.639;117.137;39714
2.633;117.098;39714
2.717;117.538;39714
2.711;117.502;39714
2.684;117.323;39714
2.679;117.287;39714
2.706;117.533;39714
2.672;117.319;39714
2.642;117.13;39714
2.636;117.091;39714
2.728;117.566;39714
2.722;117.53;39714
2.717;117.495;39714
2.689;117.315;39714
2.683;117.279;39714
2.744;117.563;39714
2.821;117.581;39714
4.24;117.227;39714
-2.613;110.842;39714
2.74;117.576;39715
2.727;117.595;39715
1.531;118.125;39715
1.129;117.662;39715
0.705;117.214;39715
0.131;116.87;39715
-1.172;114.892;39715
-1.179;114.881;39715
-1.831;114.739;39715
-2.317;115.349;39715
-2.442;115.641;39715
-2.56;114.932;39715
-2.598;115.066;39715
-2.627;115.018;39715
-2.68;115.123;39715
-2.681;115.132;39715
-2.682;115.141;39715
-2.619;114.65;39715
-2.621;114.659;39715
-2.683;115.085;39715
-2.665;114.837;39715
-2.676;114.909;39715
-2.699;114.817;39715
-2.811;114.887;39715
-3.291;114.459;39715
-2.955;111.578;39715
-3.368;113.916;39715
-3.369;113.925;39715
-3.56;114.973;39715
-2.477;111.196;39715
-1.178;114.892;39715
-1.18;114.875;39715
-1.166;114.89;39715
-1.172;114.885;39715
-3.9;116.117;39715
-3.872;116.25;39715
-3.891;116.116;39715
-3.659;115.434;39715
-3.649;114.719;39715
-3.45;114.825;39715
-3.452;114.814;39715
-3.391;115.102;39715
-3.437;114.779;39715
-3.429;114.766;39715
-3.331;115.088;39715
-3.446;113.761;39715
-3.09;116.121;39715
-3.092;116.111;39715
-3.197;115.379;39715
-3.424;113.804;39715
-3.318;114.393;39715
-3.395;113.851;39715
-3.367;113.898;39715
-3.237;114.749;39715
-3.324;113.905;39715
-3.317;113.911;39715
-3.319;113.898;39715
-3.296;113.983;39715
-2.972;115.982;39715
-3.054;115.332;39715
-2.953;115.979;39715
-3.113;114.771;39715
-3.11;114.775;39715
-3.019;114.85;39715
-3.117;114.149;39715
-3.107;114.148;39715
-3.108;114.136;39715
-3.109;114.154;39715
-3.11;114.143;39715
-2.959;115.053;39715
-2.913;115.025;39715
-2.867;115.283;39715
-2.875;115.158;39715
-2.761;115.519;39715
-2.813;115.153;39715
-2.803;115.152;39715
-2.791;115.097;39715
-2.801;115.024;39715
-2.8;115.018;39715
-2.81;114.88;39715
-2.809;114.748;39715
-2.794;114.779;39715
-2.739;114.956;39715
-2.602;115.543;39715
-2.776;114.327;39715
-2.483;116.112;39715
-2.707;114.525;39715
-2.709;114.514;39715
-2.726;114.184;39715
-2.488;115.701;39715
-2.55;115.066;39715
-2.581;114.846;39715
-2.537;115.086;39715
-2.354;116.25;39715
-2.355;116.24;39715
-2.572;114.402;39715
-2.592;114.183;39715
-2.552;114.399;39715
-2.406;115.361;39715
-2.386;115.368;39715
-2.5;114.551;39715
-2.382;115.362;39715
-2.5;114.546;39715
-2.489;114.555;39715
-2.49;114.544;39715
-2.492;114.533;39715
-2.48;114.543;39715
-2.331;115.516;39715
-2.476;114.429;39715
-2.316;115.352;39715
-2.317;115.342;39715
-2.196;116.13;39715
-2.692;112.427;39715
-2.695;112.412;39715
-2.167;115.685;39715
-2.184;115.188;39715
-2.186;115.178;39715
-2.065;115.956;39715
-2.172;115.207;39715
-2.09;115.403;39715
-2.103;115.242;39715
-2.283;113.848;39715
-2.061;115.267;39715
-2.062;115.257;39715
-1.912;116.249;39715
-2.25;113.855;39715
-2.003;115.54;39715
-2.009;115.431;39715
-2.005;115.425;39715
-1.922;115.932;39715
-1.923;115.923;39715
-1.902;116.006;39715
-1.891;116.014;39715
-1.893;116.005;39715
-2.001;115.252;39715
-2.03;115.05;39715
-2.031;115.04;39715
-1.862;115.828;39715
-1.853;115.829;39715
-1.955;114.991;39715
-2.231;112.925;39715
-2.524;110.772;39715
-1.887;115.199;39715
-1.896;114.93;39715
-1.892;114.934;39715
-1.823;115.143;39715
-1.824;115.133;39715
-1.667;116.168;39715
-1.657;116.167;39715
-2.343;111.131;39715
-1.74;115.385;39715
-1.733;115.388;39715
-1.761;115.066;39715
-1.762;115.055;39715
-2.121;112.574;39715
-1.753;115.054;39715
-2.212;111.861;39715
-2.28;111.385;39715
-1.673;115.409;39715
-2.31;110.898;39715
-2.147;111.971;39715
-2.152;111.938;39715
-2.154;111.921;39715
-1.756;114.684;39715
-2.135;111.969;39715
-2.137;111.953;39715
-1.608;115.667;39715
-2.142;111.965;39715
-2.145;111.949;39715
-2.147;111.932;39715
-2.149;111.915;39715
-1.649;115.208;39715
-2.029;112.495;39715
-2.048;112.199;39715
-2.05;112.183;39715
-2.073;111.939;39715
-2.061;111.937;39715
-2.063;111.92;39715
-2.049;111.935;39715
-2.051;111.919;39715
-2.043;111.928;39715
-2.046;111.911;39715
-1.57;115.109;39715
-1.585;115.008;39715
-1.675;114.316;39715
-1.676;114.305;39715
-2.003;112.039;39715
-1.519;115.335;39715
-1.963;112.148;39715
-1.965;112.132;39715
-2.174;110.657;39715
-1.951;112.147;39715
-1.954;112.131;39715
-1.983;111.919;39715
-1.916;112.142;39715
-2.147;110.457;39715
-2.15;110.435;39715
-1.919;112.153;39715
-1.921;112.137;39715
-1.594;114.311;39715
-1.914;112.104;39715
-2.154;110.452;39715
-2.157;110.431;39715
-1.577;114.364;39715
-1.983;111.547;39715
-1.8;112.734;39715
-1.813;112.483;39715
-1.745;112.884;39715
-1.931;111.375;39715
-1.505;114.291;39715
-1.834;112.02;39715
-1.837;112.004;39715
-1.117;116.915;39715
-1.822;112.018;39715
-1.825;112.002;39715
-1.886;111.58;39715
-1.93;111.274;39715
-1.932;111.255;39715
-2.035;110.539;39715
-1.086;117.065;39715
-1.341;115.226;39715
-1.926;111.12;39715
-1.929;111.101;39715
-1.321;115.294;39715
-2.007;110.447;39715
-1.411;114.599;39715
-1.458;114.262;39715
-1.542;113.669;39715
-1.544;113.657;39715
-1.997;110.463;39715
-1.477;113.777;39715
-1.457;113.847;39715
-1.438;113.904;39715
-1.352;114.365;39715
-1.253;114.994;39715
-1.255;114.984;39715
-1.245;114.983;39715
-1.389;113.891;39715
-1.253;114.554;39715
-1.254;114.543;39715
-1.476;112.995;39715
-1.406;113.41;39715
-1.407;113.398;39715
-1.201;114.782;39715
-1.36;113.581;39715
-1.362;113.569;39715
